text,category
"

Peter> : > Does anyone have any  other suggestions where the 42 came from?

Peter> Yep, here's a theory that I once heard bandied around.  Rather than thinking
Peter> of the number think of the sound. For Tea Two. A sort of anagram on Tea For Two,
Peter> Two for Tea, For Tea Two.
                    ~~~~~~~~~~~ 
Un other suggestion is there is no Tea above! It just 
And For Two many things are possible; think binary, + -, Y/N,
L/R, T/F  No wonder there was Eve for Adam! 

Peter> :-)
 
Malek :-) :-)

--
 Malek.",0
"

I guess you need to be reminded of some things!  Have you ever heard of the
First Amendment?  I guess not.  It isn't a crime to be a religous (I know
you said ""sacraligious"", but it isn't your place to judge his religion)
zealot in this country.  REMEMBER we have freedom of religion in this country!
I guess you are selective in that respect!  So what if they were ""bastard""
children.  They were CHILDREN!  Do you condone their deaths?  I pray for
your lack of a soul if you do!",3
"



Hey, joe -- assuming you're old enough to remember it -- how did you feel
about presidential responsibility every time Reagan said ""I don't recall"" 
about his arms-for-hostages meetings with the Ollie North gang?

How did you feel about it when Bush said he ""was out of the loop on that
decision"" when he was right there in the thick of it?

Oh, right.  ""He was responsible in the sense that he was briefed, but so
what -- shit happens!""  Is that what you said?

-- ",3
"To: turpin@cs.utexas.edu (Russell Turpin)

 RT> o  Those administering the treatment do not know which subjects 
 RT> receive a placebo or the test treatment.

It seems to me that many drugs have such severe side effects that 
it might not be possible to keep the doctors from knowing who is 
getting the true drug.  This is especially true of the drugs used 
for ""mental"" illnesses.",2
"I like the Clark-WIlliams-Bonds order.
Pitchers can only walk Clark with 2 outs (unlike last year).

Williams is getting better pitches to hit with Bonds looming
in the on-deck circle.  Since Matt has a terrible batting eye,
this helps the Giants a lot.

When Bonds gets on base all by himself, he can try to steal 2nd
and then be driven in with a single by Thompson, Manwaring, or Clayton.

If you bat Bonds before the other sluggers, then you don't want
him to run because a ""caught stealing"" could take you out of a
big inning.

Also Bonds is less in need of protection behind him because he
is such a good base stealer (a walk is a potential double).

The only draw back is when Clark and Williams are clogging up the 
bases infront of Bonds... and I think that's a problem the 
Giants will be glad to see especially if Robby Thompson gets hot.",1
"

I agree with Nick.  What's the big deal about long games?  If you want
to watch baseball, there's that much more baseball to watch.  And yes,
baseball includes the space between plays as well as the plays themselves.

I suspect that a lot of the complaining about long games, especially when
it's coming from TV people, has to something to do with advertising.
Probably time ""wasted"" in the middle of an inning, say by a batter
stepping out of the box to fiddle with his gloves, or by a pitcher
walking around behind the mound trying to collect his thoughts, could
otherwise be sold as advertising time.",1
"

Oh, you mean something like moving the press back to a single
location, 2 miles away from the ""compound""?  The press was allowing
into foxholes in Vietnam, but it's ""too dangerous"" to allow them near
the Branch Davidians?...  There's something skewed about the logic here. 

--
Charles Scripter   *   cescript@phy.mtu.edu
Dept of Physics, Michigan Tech, Houghton, MI 49931",3
"

Non-steroid.  Proventil is a brand of albuterol, a bronchodilator.  

Regards,",2
"mcsdc1jpb@dct.ac.uk (John Bell) babbles from Scotland, one of England's
last remaining colonies:



People who were dumb enough to believe Klinton was a moderate deserve what
they get too.  It's a real laugh to hear them try to justify this massacre
with bullsh*t about how concerned they were about how our tax money was
was being spent.  (Wasting money keeping Texans alive?  Hell no. let's
spend it to import Haitians with AIDS so we can treat them at taxpayer
expense.  %^P  )


So what?  The Feds killed 90+ civilians when they ""ran out of patience"", to use
their own phrase.  If the Feds hadn't attacked them, they'd all be home eating 
dinner with their families tonight.  Too bad, but they started it.  Maybe
next time they'll think twice.  That's worth 4 stormtroopers.


Nobody says he is.  What he was was a victim of a left-wing government,
that violated its pledge to protect and uphold the Constitution, run amok.  
Don't worry, though dweeb, we're gonna take it back.  (Hey, I'm a white guy,
but would it be OK if I quoted Malcolm X here, and said ""by any means 
necessary""?  Nah, never mind.  We can do this legally...


NO, you're just a brainless f*cking trogladyte.  Go beat up some soccer
fans.  Ignorance is bliss, so drool on with that stupid smile on your 
face when people die needlessly. I hope a badger climbs up your kilt.

(Don't expect these UKies to care about this, folks...  these bastards
never did like the idea that we Americans had the means to defend ourselves 
and wouldn't stand for tyranical governments, which is why we sent them packing 
back to their dreary little island with their tails between their legs twice.)


",3
"

",2
"I know that there is a relationship between Fibromyalgia and deep 
sleep.  I believe that there are five levels of sleep.  I think 
that R.E.M. sleep is the third deepest level of sleep and that 
there are two deeper levels of sleep.  If I am in error in any of 
this, please let me know.

Which level of sleep is thought to be deficient in people with 
Fibromyalgia?  Are there any known sleep disturbances associated 
with CFS?  What sleep disturbances (if any) are associated with 
clinical depression?  Do antidepressants correct the sleep 
disturbances in these diseases?  Are there any good books or 
medical journal articles about sleep disturbances and these 
diseases?  Thank you in advance for all replies.",2
"
And you shouldn't, as the matches kill more kids.  So why are you bleating
about guns?


It may be tired, but it is true.


No, that's not right either.  People who have both easy access and the
desire to kill, kill people.  Considering that people who have the
desire to kill turn that into easy access ....  (Haven't you folks
learned anything from either Prohibition or the war on drugs?)

If you don't affect the desire, you're wasting your time, not to
mention the other costs incurred.


Good for them.  I note that the TM folks make the same argument.  If
you'll pay their expesnses ($21 million for a reasonable size city),
they promise to meditate away all crime, disease, etc.  At least
they're not promising to jail me if I don't go along with their little
plan - they're going to just sit in a room and fly, leaving me alone.


Ah, but we have evaluated gun control using before-after and it
doesn't work to reduce crime.  What is the point?  We can't claim that
it is symbolic, as people do get jailed.


No, they're essentially saying ""we hope this will keep you from
noticing that we're not doing anything useful"".  Pissing away
resources isn't ""caring"".


Nope, you'll merely be ignored, as Wright, Rossi, and Daly were after
finishing ""Under the Gun"".  They were supposed to prove that gun
control worked, so ....


So, who gassed them?  Given their previous experience with thugs who
threw grenades before yelling ""we're from the govt and we're here to
help you"", would a rational person think that the feds had their best
interests at heart?  Would you ""know"" that the gas was ""non-lethal""?

-andy",3
