Channel=1,Region=North,Region=South,Fresh,MeatAndFish,Wine,Frozen,PersonalCare,Deli,AssortmentExtDegree
0.0,1.0,0.0,0.07762064414880336,0.04873166945794698,0.06571671858326956,0.03819604233778187,0.0519302371154223,0.10709219858156029,0.5
0.0,1.0,0.0,0.0736080893105539,0.03116702749070708,0.02310917576554534,0.06362172112287161,0.006442288849696257,0.013183145598664998,0.75
1.0,1.0,0.0,0.3964671683846346,0.7380417466606756,0.5989415480129774,0.12748997436066006,0.5920047031158142,0.13479349186483106,0.5
0.0,1.0,0.0,0.0012216000285337233,0.11971188540773116,0.041173997865850374,0.0019229504963513247,0.025940623162845386,0.0,0.0
1.0,0.0,0.0,0.14998038306523523,0.011886769331318164,0.029533181715295818,0.18956676089671948,0.008058984910836764,0.07265331664580726,0.25
0.0,1.0,0.0,0.02171238006919428,0.10820636411911277,0.10580208456837363,0.10262310170271514,0.08465608465608465,0.0,0.75
0.0,1.0,0.0,0.062435353283161535,0.01053878518034394,0.03240027161904351,0.006656367102754586,0.014868704683519498,0.010972048393825616,0.75
0.0,1.0,0.0,0.08609159325177444,0.028961235243658345,0.020543884799034243,0.092268752876208,0.00519302371154223,0.006675010429703797,0.0
0.0,1.0,0.0,0.10199914398830118,0.01330283348991735,0.00624077088071397,0.08817631976858853,0.0017391730354693318,0.005089695452649145,1.0
0.0,1.0,0.0,0.006741092128259086,0.2533801723785793,0.017860029964323055,0.10007560318190784,0.01305604546345287,0.08546099290780142,0.0
0.0,0.0,1.0,0.08194528658558334,0.06576528736571219,0.023216961100272698,0.004963513246992309,0.01903292181069959,0.011368377138089279,0.75
0.0,1.0,0.0,0.18610229339800977,0.020532930299688192,0.019185789581469548,0.037719413582275985,0.013398980991573585,0.016040884438881936,0.75
0.0,0.0,1.0,0.04206049149338374,0.01330283348991735,0.010476734535499101,0.08998422194464532,0.004752106603958456,0.0011055486024196914,1.0
0.0,0.0,0.0,0.08726860933766095,0.023569298639761448,0.05503519191178849,0.05826375649201236,0.004384675680971977,0.02169378389653734,0.5
0.0,1.0,0.0,0.3841798337910618,0.02784472311860899,0.028088858229949235,0.019311682335152194,0.02704291593180482,0.01710471422611598,0.5
0.0,1.0,0.0,0.2788547276812783,0.02535299483953542,0.04813693048923764,0.15421405561764512,0.058250048990789734,0.09034209428452232,0.25
1.0,1.0,0.0,0.02764204444127403,0.19081464537124027,0.2366103667934941,0.02700348432055749,0.1662992357436802,0.030225281602002503,1.0
1.0,0.0,0.0,0.0014088525876520311,0.10082649129256702,0.2669842741196633,0.009729800802051148,0.2885557515187145,0.050208594075928245,1.0
0.0,1.0,0.0,0.11014908870421229,0.08143730512097817,0.09575649137178396,0.006196173821576491,0.033779149519890264,0.058218606591572804,0.25
0.0,1.0,0.0,0.029862324785105396,0.015331617717141184,0.014281556851374803,0.0900170928933009,0.0075445816186556925,0.020796829370045893,1.0
0.0,1.0,0.0,0.38148696365516993,0.003145296352273191,0.005044353665240308,0.022401551508776544,0.0007103664511071919,0.00039632874426366295,0.0
0.0,0.0,0.0,0.004806149017369904,0.011491905287093391,0.017903144098214,0.00639339951350996,0.002082108563590045,0.010826032540675845,1.0
0.0,0.0,1.0,0.47439098334343904,0.0667728714785616,0.07903898595557089,0.04909276181710604,0.02361356065059769,0.01700041718815186,0.0
0.0,1.0,0.0,0.09523130149445376,0.29686968124940427,0.1659570798797116,0.059332062323318654,0.0068342151675485005,0.10673758865248227,1.0
1.0,0.0,1.0,0.0216142953953704,0.09588388273899486,0.11196740571477845,0.018111892709223587,0.10559964726631393,0.030559032123487696,0.25
1.0,1.0,0.0,0.012635089346221064,0.1464400964012908,0.17530206840057344,0.02577082374597331,0.1656623554771703,0.038277012932832706,0.5
1.0,1.0,0.0,0.08198987052823055,0.3733099138107103,0.34524720566519723,0.052708566169219644,0.46303644914756026,0.10694618272841051,1.0
0.0,1.0,0.0,0.0022470307094196954,0.07765205669703035,0.06380891815859535,0.005325093682203669,0.11248285322359397,0.027638715060492283,0.5
0.0,1.0,0.0,0.053670150158718836,0.04491918903094917,0.03511646205417291,0.04079284728157255,0.005119537526944934,0.01424697538589904,0.0
0.0,1.0,0.0,0.041213396583086634,0.11606279699903325,0.07574075471291376,0.07478140819144041,0.05986674505193024,0.0321026282853567,0.5
0.0,0.0,1.0,0.09993044904947034,0.04794194136949743,0.055142977246515845,0.008809414239694958,0.04112776797961983,0.04995828118481435,0.75
0.0,1.0,0.0,0.09275243428326854,0.020982258350012935,0.01178093708570012,0.13805798435342845,0.009700176366843033,0.006570713391739675,0.5
0.0,1.0,0.0,0.6797624567535756,0.04653949321242324,0.07651680912295074,0.2713989875747814,0.01898393102096806,0.019086357947434292,0.25
0.0,1.0,0.0,0.02482433926596997,0.022371090505562137,0.0270217834161484,0.000657418973111564,0.011610817166372722,0.001022110972048394,0.25
1.0,1.0,0.0,0.0837553946570603,0.15721035360755958,0.16999902993198746,0.04718624679508251,0.18797766019988243,0.02695035460992908,0.5
